freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.143814604868290E+011,-6.44E+00,-7.87E+01,,,,
1.144014671557186E+011,-6.36E+00,-1.19E+02,,,,
1.144214738246082E+011,-6.33E+00,-1.60E+02,,,,
1.144414804934978E+011,-6.26E+00,1.593457752343524E+002,,,,
1.144614871623875E+011,-6.20E+00,1.184495721417689E+002,,,,
1.144814938312771E+011,-6.15E+00,7.735922951124877E+001,,,,
1.145015005001667E+011,-6.16E+00,3.626642604614276E+001,,,,
1.145215071690564E+011,-6.33E+00,-4.63E+00,,,,
1.145415138379460E+011,-6.45E+00,-4.42E+01,,,,
1.145615205068356E+011,-6.43E+00,-8.34E+01,,,,
1.145815271757252E+011,-6.37E+00,-1.24E+02,,,,
1.146015338446149E+011,-6.42E+00,-1.65E+02,,,,
1.146215405135045E+011,-6.65E+00,1.557723981795358E+002,,,,
1.146415471823941E+011,-6.82E+00,1.170432750987388E+002,,,,
1.146615538512838E+011,-6.80E+00,7.876930706720434E+001,,,,
1.146815605201734E+011,-6.67E+00,3.940335570055775E+001,,,,
1.147015671890630E+011,-6.67E+00,-5.45E-01,,,,
1.147215738579527E+011,-6.73E+00,-3.97E+01,,,,
1.147415805268423E+011,-6.61E+00,-7.85E+01,,,,
1.147615871957319E+011,-6.38E+00,-1.18E+02,,,,
1.147815938646215E+011,-6.23E+00,-1.60E+02,,,,
1.148016005335112E+011,-6.33E+00,1.596401891821113E+002,,,,
1.148216072024008E+011,-6.38E+00,1.200033737571438E+002,,,,
1.148416138712904E+011,-6.33E+00,8.031421405007173E+001,,,,
1.148616205401801E+011,-6.19E+00,3.988134617180808E+001,,,,
1.148816272090697E+011,-6.13E+00,-1.65E+00,,,,
1.149016338779593E+011,-6.31E+00,-4.31E+01,,,,
1.149216405468490E+011,-6.49E+00,-8.29E+01,,,,
1.149416472157386E+011,-6.54E+00,-1.22E+02,,,,
1.149616538846282E+011,-6.40E+00,-1.62E+02,,,,
1.149816605535178E+011,-6.28E+00,1.568446653396017E+002,,,,
1.150016672224075E+011,-6.38E+00,1.156704667850246E+002,,,,
1.150216738912971E+011,-6.51E+00,7.528742025222478E+001,,,,
1.150416805601867E+011,-6.54E+00,3.547537267269807E+001,,,,
1.150616872290764E+011,-6.41E+00,-4.55E+00,,,,
1.150816938979660E+011,-6.38E+00,-4.59E+01,,,,
1.151017005668556E+011,-6.47E+00,-8.65E+01,,,,
1.151217072357453E+011,-6.49E+00,-1.27E+02,,,,
1.151417139046349E+011,-6.44E+00,-1.67E+02,,,,
1.151617205735245E+011,-6.33E+00,1.523462022486840E+002,,,,
1.151817272424141E+011,-6.33E+00,1.112559867991878E+002,,,,
1.152017339113038E+011,-6.30E+00,7.006745709844974E+001,,,,
1.152217405801934E+011,-6.37E+00,2.913804834859305E+001,,,,
1.152417472490830E+011,-6.41E+00,-1.13E+01,,,,
1.152617539179727E+011,-6.36E+00,-5.21E+01,,,,
1.152817605868623E+011,-6.38E+00,-9.30E+01,,,,
1.153017672557519E+011,-6.45E+00,-1.34E+02,,,,
1.153217739246415E+011,-6.56E+00,-1.74E+02,,,,
1.153417805935312E+011,-6.51E+00,1.464216958467607E+002,,,,
1.153617872624208E+011,-6.33E+00,1.063175744341633E+002,,,,
1.153817939313104E+011,-6.19E+00,6.516314804345754E+001,,,,
1.154018006002001E+011,-6.23E+00,2.346725753937732E+001,,,,
1.154218072690897E+011,-6.35E+00,-1.70E+01,,,,
1.154418139379793E+011,-6.37E+00,-5.67E+01,,,,
1.154618206068690E+011,-6.31E+00,-9.70E+01,,,,
1.154818272757586E+011,-6.33E+00,-1.37E+02,,,,
1.155018339446482E+011,-6.42E+00,-1.77E+02,,,,
1.155218406135378E+011,-6.48E+00,1.433580729807776E+002,,,,
1.155418472824275E+011,-6.40E+00,1.040742312617578E+002,,,,
1.155618539513171E+011,-6.28E+00,6.413309706740985E+001,,,,
1.155818606202067E+011,-6.18E+00,2.356117004325513E+001,,,,
1.156018672890964E+011,-6.21E+00,-1.69E+01,,,,
1.156218739579860E+011,-6.28E+00,-5.72E+01,,,,
1.156418806268756E+011,-6.30E+00,-9.72E+01,,,,
1.156618872957653E+011,-6.32E+00,-1.37E+02,,,,
1.156818939646549E+011,-6.31E+00,-1.78E+02,,,,
1.157019006335445E+011,-6.39E+00,1.422974431949754E+002,,,,
1.157219073024341E+011,-6.42E+00,1.025648267534567E+002,,,,
1.157419139713238E+011,-6.37E+00,6.280190428940658E+001,,,,
1.157619206402134E+011,-6.31E+00,2.207837838159876E+001,,,,
1.157819273091030E+011,-6.40E+00,-1.89E+01,,,,
1.158019339779927E+011,-6.59E+00,-5.88E+01,,,,
1.158219406468823E+011,-6.61E+00,-9.78E+01,,,,
1.158419473157719E+011,-6.46E+00,-1.38E+02,,,,
1.158619539846616E+011,-6.29E+00,-1.78E+02,,,,
1.158819606535512E+011,-6.30E+00,1.400721188178390E+002,,,,
1.159019673224408E+011,-6.46E+00,9.922409531169529E+001,,,,
1.159219739913304E+011,-6.52E+00,5.950282843738206E+001,,,,
1.159419806602201E+011,-6.44E+00,1.937360574404658E+001,,,,
1.159619873291097E+011,-6.33E+00,-2.18E+01,,,,
1.159819939979993E+011,-6.43E+00,-6.32E+01,,,,
1.160020006668890E+011,-6.58E+00,-1.03E+02,,,,
1.160220073357786E+011,-6.56E+00,-1.43E+02,,,,
1.160420140046682E+011,-6.42E+00,1.767593669284296E+002,,,,
1.160620206735579E+011,-6.36E+00,1.352701298032455E+002,,,,
1.160820273424475E+011,-6.48E+00,9.402025180758164E+001,,,,
1.161020340113371E+011,-6.58E+00,5.421278129273207E+001,,,,
1.161220406802268E+011,-6.52E+00,1.447111587104069E+001,,,,
1.161420473491164E+011,-6.37E+00,-2.62E+01,,,,
1.161620540180060E+011,-6.31E+00,-6.75E+01,,,,
1.161820606868956E+011,-6.48E+00,-1.09E+02,,,,
1.162020673557853E+011,-6.70E+00,-1.48E+02,,,,
1.162220740246749E+011,-6.64E+00,1.728827366555998E+002,,,,
1.162420806935645E+011,-6.45E+00,1.333545787355740E+002,,,,
1.162620873624542E+011,-6.26E+00,9.244889863170799E+001,,,,
1.162820940313438E+011,-6.26E+00,5.128097512490410E+001,,,,
1.163021007002334E+011,-6.27E+00,1.107692486441298E+001,,,,
1.163221073691231E+011,-6.21E+00,-2.94E+01,,,,
1.163421140380127E+011,-6.13E+00,-7.04E+01,,,,
1.163621207069023E+011,-6.17E+00,-1.12E+02,,,,
1.163821273757919E+011,-6.39E+00,-1.53E+02,,,,
1.164021340446816E+011,-6.55E+00,1.677959960004063E+002,,,,
1.164221407135712E+011,-6.51E+00,1.285920711342215E+002,,,,
1.164421473824608E+011,-6.38E+00,8.832409681038759E+001,,,,
1.164621540513505E+011,-6.40E+00,4.765795347368070E+001,,,,
1.164821607202401E+011,-6.50E+00,7.650508896671222E+000,,,,
1.165021673891297E+011,-6.46E+00,-3.16E+01,,,,
1.165221740580194E+011,-6.31E+00,-7.18E+01,,,,
1.165421807269090E+011,-6.19E+00,-1.13E+02,,,,
1.165621873957986E+011,-6.28E+00,-1.54E+02,,,,
1.165821940646882E+011,-6.51E+00,1.653222874049860E+002,,,,
1.166022007335779E+011,-6.64E+00,1.260943420979657E+002,,,,
1.166222074024675E+011,-6.58E+00,8.709105524408440E+001,,,,
1.166422140713571E+011,-6.39E+00,4.748855205988644E+001,,,,
1.166622207402468E+011,-6.30E+00,6.445508665243997E+000,,,,
1.166822274091364E+011,-6.34E+00,-3.41E+01,,,,
1.167022340780260E+011,-6.36E+00,-7.40E+01,,,,
1.167222407469156E+011,-6.26E+00,-1.14E+02,,,,
1.167422474158053E+011,-6.21E+00,-1.56E+02,,,,
1.167622540846949E+011,-6.38E+00,1.630657194777219E+002,,,,
1.167822607535845E+011,-6.56E+00,1.236652091266125E+002,,,,
1.168022674224742E+011,-6.49E+00,8.431554384034340E+001,,,,
1.168222740913638E+011,-6.34E+00,4.374389177954681E+001,,,,
1.168422807602534E+011,-6.35E+00,1.740820771932663E+000,,,,
1.168622874291431E+011,-6.67E+00,-3.89E+01,,,,
1.168822940980327E+011,-6.81E+00,-7.78E+01,,,,
1.169023007669223E+011,-6.77E+00,-1.16E+02,,,,
1.169223074358119E+011,-6.53E+00,-1.56E+02,,,,
1.169423141047016E+011,-6.46E+00,1.615264789663352E+002,,,,
1.169623207735912E+011,-6.67E+00,1.207198488145064E+002,,,,
