freq[Hz],db:Trc2_S21,ang:Trc2_S21
1.161020340113371E+011,-9.19E+00,-1.56E+02
1.161220406802268E+011,-8.23E+00,1.653818266741164E+002
1.161420473491164E+011,-7.71E+00,1.206440607353986E+002
1.161620540180060E+011,-8.04E+00,7.809170557628296E+001
1.161820606868956E+011,-8.11E+00,4.035969951002574E+001
1.162020673557853E+011,-7.60E+00,1.535360866752379E+000
1.162220740246749E+011,-7.01E+00,-4.07E+01
1.162420806935645E+011,-6.95E+00,-8.43E+01
1.162620873624542E+011,-7.13E+00,-1.25E+02
1.162820940313438E+011,-7.16E+00,-1.65E+02
1.163021007002334E+011,-6.87E+00,1.550500029530340E+002
1.163221073691231E+011,-6.75E+00,1.130252117285189E+002
1.163421140380127E+011,-6.75E+00,7.246753401428970E+001
1.163621207069023E+011,-6.69E+00,3.163343702261692E+001
1.163821273757919E+011,-6.67E+00,-8.51E+00
1.164021340446816E+011,-6.51E+00,-4.87E+01
1.164221407135712E+011,-6.24E+00,-8.97E+01
1.164421473824608E+011,-6.12E+00,-1.32E+02
1.164621540513505E+011,-6.44E+00,-1.74E+02
1.164821607202401E+011,-6.73E+00,1.478300379094812E+002
1.165021673891297E+011,-6.32E+00,1.090676360340302E+002
1.165221740580194E+011,-5.97E+00,6.769662111706415E+001
1.165421807269090E+011,-5.87E+00,2.518887602548887E+001
1.165621873957986E+011,-6.13E+00,-1.62E+01
1.165821940646882E+011,-6.24E+00,-5.44E+01
1.166022007335779E+011,-5.87E+00,-9.45E+01
1.166222074024675E+011,-5.68E+00,-1.37E+02
1.166422140713571E+011,-5.71E+00,-1.79E+02
1.166622207402468E+011,-5.95E+00,1.402925736960717E+002
1.166822274091364E+011,-5.99E+00,1.016601605594509E+002
1.167022340780260E+011,-5.78E+00,6.057463944569805E+001
1.167222407469156E+011,-5.78E+00,1.867491322747039E+001
1.167422474158053E+011,-6.02E+00,-2.29E+01
1.167622540846949E+011,-6.34E+00,-6.23E+01
1.167822607535845E+011,-6.23E+00,-1.02E+02
1.168022674224742E+011,-6.10E+00,-1.42E+02
1.168222740913638E+011,-6.05E+00,1.759823954762327E+002
1.168422807602534E+011,-6.29E+00,1.342083900913947E+002
1.168622874291431E+011,-6.70E+00,9.413390311626735E+001
1.168822940980327E+011,-7.02E+00,5.597790893565368E+001
1.169023007669223E+011,-6.84E+00,1.915488640133316E+001
1.169223074358119E+011,-6.39E+00,-2.15E+01
1.169423141047016E+011,-6.37E+00,-6.40E+01
1.169623207735912E+011,-6.53E+00,-1.04E+02
1.169823274424808E+011,-6.67E+00,-1.44E+02
1.170023341113705E+011,-6.56E+00,1.771583073569060E+002
1.170223407802601E+011,-6.23E+00,1.362186472479011E+002
1.170423474491497E+011,-6.28E+00,9.341000474622189E+001
1.170623541180394E+011,-6.57E+00,5.346605133715473E+001
1.170823607869290E+011,-6.62E+00,1.427519655072876E+001
1.171023674558186E+011,-6.48E+00,-2.52E+01
1.171223741247082E+011,-6.15E+00,-6.61E+01
1.171423807935979E+011,-6.12E+00,-1.09E+02
1.171623874624875E+011,-6.33E+00,-1.51E+02
1.171823941313771E+011,-6.45E+00,1.693870186912729E+002
1.172024008002668E+011,-6.37E+00,1.287992309170752E+002
1.172224074691564E+011,-6.26E+00,8.730711525462769E+001
1.172424141380460E+011,-6.45E+00,4.511323861775116E+001
1.172624208069356E+011,-6.79E+00,4.607048039883146E+000
1.172824274758253E+011,-7.01E+00,-3.49E+01
1.173024341447149E+011,-7.13E+00,-7.38E+01
1.173224408136045E+011,-6.99E+00,-1.13E+02
1.173424474824942E+011,-6.87E+00,-1.55E+02
1.173624541513838E+011,-7.17E+00,1.650653181566577E+002
1.173824608202734E+011,-7.22E+00,1.258566788712664E+002
1.174024674891631E+011,-7.37E+00,8.625453007082125E+001
1.174224741580527E+011,-7.32E+00,4.883034457227116E+001
1.174424808269423E+011,-7.10E+00,8.849959868344596E+000
1.174624874958319E+011,-7.11E+00,-3.00E+01
1.174824941647216E+011,-6.78E+00,-6.90E+01
1.175025008336112E+011,-6.58E+00,-1.10E+02
1.175225075025008E+011,-6.31E+00,-1.50E+02
1.175425141713905E+011,-6.28E+00,1.674670735360661E+002
1.175625208402801E+011,-6.56E+00,1.270159399153134E+002
1.175825275091697E+011,-6.64E+00,8.897484049095877E+001
1.176025341780594E+011,-6.23E+00,4.984537416016449E+001
1.176225408469490E+011,-5.93E+00,8.357900386651885E+000
1.176425475158386E+011,-6.06E+00,-3.44E+01
1.176625541847282E+011,-6.42E+00,-7.33E+01
1.176825608536179E+011,-6.13E+00,-1.12E+02
1.177025675225075E+011,-6.02E+00,-1.53E+02
1.177225741913971E+011,-6.01E+00,1.668390235643765E+002
1.177425808602868E+011,-6.12E+00,1.261449189020889E+002
1.177625875291764E+011,-6.18E+00,8.904091805104153E+001
1.177825941980660E+011,-5.58E+00,4.778456079404374E+001
1.178026008669557E+011,-5.59E+00,4.255279453850433E+000
1.178226075358453E+011,-5.98E+00,-3.72E+01
1.178426142047349E+011,-6.31E+00,-7.65E+01
1.178626208736245E+011,-6.21E+00,-1.14E+02
1.178826275425142E+011,-5.98E+00,-1.56E+02
1.179026342114038E+011,-6.28E+00,1.617739968657728E+002
1.179226408802934E+011,-6.59E+00,1.217412048736595E+002
1.179426475491831E+011,-6.78E+00,8.316553359795513E+001
1.179626542180727E+011,-6.53E+00,4.343629569869828E+001
1.179826608869623E+011,-6.55E+00,1.792821725815379E+000
1.180026675558520E+011,-6.66E+00,-3.96E+01
1.180226742247416E+011,-7.07E+00,-8.01E+01
1.180426808936312E+011,-7.23E+00,-1.17E+02
1.180626875625208E+011,-6.85E+00,-1.55E+02
1.180826942314105E+011,-6.37E+00,1.635318063798934E+002
1.181027009003001E+011,-6.39E+00,1.205171629955403E+002
1.181227075691897E+011,-6.67E+00,8.161874274412254E+001
1.181427142380794E+011,-6.31E+00,4.245489839454768E+001
1.181627209069690E+011,-5.97E+00,1.803257854674876E+000
1.181827275758586E+011,-5.75E+00,-4.09E+01
1.182027342447483E+011,-5.94E+00,-8.32E+01
1.182227409136379E+011,-5.98E+00,-1.23E+02
1.182427475825275E+011,-5.78E+00,-1.64E+02
1.182627542514171E+011,-5.77E+00,1.550594646241344E+002
1.182827609203068E+011,-5.83E+00,1.140523724051254E+002
1.183027675891964E+011,-5.91E+00,7.399879900574263E+001
1.183227742580860E+011,-5.75E+00,3.426079378963139E+001
1.183427809269757E+011,-5.58E+00,-7.44E+00
1.183627875958653E+011,-5.65E+00,-4.97E+01
1.183827942647549E+011,-6.07E+00,-8.92E+01
1.184028009336446E+011,-5.86E+00,-1.27E+02
1.184228076025342E+011,-5.48E+00,-1.68E+02
1.184428142714238E+011,-5.47E+00,1.498544155480954E+002
1.184628209403135E+011,-5.78E+00,1.081666147161123E+002
1.184828276092031E+011,-6.19E+00,7.124800158920716E+001
1.185028342780927E+011,-5.70E+00,3.387453933136774E+001
1.185228409469823E+011,-5.37E+00,-8.31E+00
1.185428476158720E+011,-5.51E+00,-5.03E+01
1.185628542847616E+011,-5.81E+00,-9.08E+01
1.185828609536512E+011,-5.94E+00,-1.29E+02
1.186028676225409E+011,-5.72E+00,-1.69E+02
1.186228742914305E+011,-5.72E+00,1.501600563039674E+002
1.186428809603201E+011,-5.64E+00,1.098239241755352E+002
1.186628876292097E+011,-5.64E+00,6.815719387452863E+001
1.186828942980994E+011,-5.75E+00,2.733366906879237E+001
1.187029009669890E+011,-5.67E+00,-1.35E+01
1.187229076358786E+011,-5.76E+00,-5.43E+01
1.187429143047683E+011,-5.57E+00,-9.46E+01
1.187629209736579E+011,-5.40E+00,-1.37E+02
1.187829276425475E+011,-5.66E+00,-1.80E+02
1.188029343114372E+011,-5.71E+00,1.393252668924885E+002
1.188229409803268E+011,-5.82E+00,9.840576806438342E+001
1.188429476492164E+011,-5.72E+00,5.764047146188071E+001
1.188629543181060E+011,-5.75E+00,1.448310433353397E+001
1.188829609869957E+011,-6.19E+00,-2.65E+01
1.189029676558853E+011,-6.37E+00,-6.69E+01
1.189229743247749E+011,-6.56E+00,-1.06E+02
1.189429809936646E+011,-6.48E+00,-1.46E+02
1.189629876625542E+011,-6.46E+00,1.733186632428729E+002
1.189829943314438E+011,-6.60E+00,1.328270119032082E+002
1.190030010003335E+011,-6.87E+00,9.323770945263229E+001
1.190230076692231E+011,-6.88E+00,5.611571992754241E+001
1.190430143381127E+011,-6.53E+00,1.697642907205091E+001
1.190630210070023E+011,-6.42E+00,-2.26E+01
1.190830276758920E+011,-6.10E+00,-6.28E+01
1.191030343447816E+011,-6.16E+00,-1.04E+02
1.191230410136712E+011,-6.24E+00,-1.43E+02
1.191430476825609E+011,-6.20E+00,1.777155765433436E+002
1.191630543514505E+011,-5.90E+00,1.386241822650068E+002
1.191830610203401E+011,-5.92E+00,9.720434677327614E+001
1.192030676892297E+011,-6.07E+00,5.847915132390955E+001
1.192230743581194E+011,-6.00E+00,1.969413904171323E+001
1.192430810270090E+011,-6.02E+00,-1.83E+01
